PLAYER_NAME,PLAYER_ID,TEAM_NAME_x,LOCATION,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,PTS,PLUS_MINUS,Efficiency,Season Type,GP_x,W_x,L_x,Logo_URL,DISPLAY_FIRST_LAST_x,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL,DISPLAY_FIRST_LAST_y,POSITION,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT,MIN_y,DEF_RATING,DREB_y,DREB_PCT,STL_y,BLK_y,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Conference,W_rate
Al Horford,201143,Boston Celtics,AWAY,26.83,3.17,6.17,0.51,1.51,3.8,0.4,0.39,0.49,0.2,1.17,5.2,6.37,2.76,0.78,0.56,0.98,0.1,1.32,0.49,8.24,5.34,15.02,Regular Season,82,64,18,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png,Al Horford,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,Al Horford,Center-Forward,Boston Celtics,82,64,18,0.78,3966,110.6,2923,0.726,557,538,1093,1114,1063,3912,1,1,1,1,7,2,1,7,27,1,1,10,4,9,East,78.04878049
Alec Burks,202692,Detroit Pistons,AWAY,20.28,3.55,9.2,0.36,2.4,6,0.37,3.05,3.5,0.59,0.25,2.35,2.6,1.95,0.75,0.6,0.1,0.25,1.4,2.8,12.55,-3.4,10.95,Regular Season,82,14,68,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png,Alec Burks,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,Alec Burks,Guard,New York Knicks,82,50,32,0.61,3946,112.4,2665,0.729,612,336,1222,1008,1133,3848,1,6,6,6,23,9,21,6,17,29,5,3,13,6,East,17.07317073
Aleksej Pokusevski,1630197,Charlotte Hornets,AWAY,20.5,3,6.12,0.54,1,2.88,0.28,1.12,1.75,0.31,1,4.12,5.12,1.5,0.62,0.75,0.62,0.25,0.88,1.5,8.12,-2.75,11.75,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png,Aleksej Pokusevski,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png,Aleksej Pokusevski,Forward,Charlotte Hornets,82,21,61,0.256,3946,119.2,2538,0.709,562,371,1401,1160,1128,4308,1,27,27,27,23,29,29,22,25,25,20,21,12,23,East,25.6097561
Alex Caruso,1627936,Chicago Bulls,AWAY,27.96,3.22,7.48,0.45,1.68,4.7,0.34,1.08,1.45,0.37,0.82,3.05,3.88,3.42,1.27,1.5,0.98,0.32,2.6,1.98,9.2,-0.82,13.08,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Alex Caruso,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png,Alex Caruso,Guard,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Alex Fudge,1641788,Dallas Mavericks,AWAY,12.88,2.5,4.5,0.28,0.5,1.5,0.17,0,0,0,1,0.5,1.5,0,0.5,1.5,0,0.5,0.5,0,5.5,-9.5,6,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,Alex Fudge,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641788.png,Alex Fudge,Forward,Dallas Mavericks,82,50,32,0.61,3941,114.9,2724,0.711,563,406,1240,1170,1291,4186,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West,60.97560976
Alex Len,203458,Sacramento Kings,AWAY,9.05,1.03,1.57,0.43,0,0.1,0,0.57,0.83,0.22,1.03,1.7,2.73,0.9,0.5,0.2,0.7,0.2,1.27,0.53,2.63,2.53,5.87,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,Alex Len,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/203458.png,Alex Len,Center,Sacramento Kings,82,46,36,0.561,3971,114.4,2719,0.744,625,342,1349,891,962,4006,1,16,16,16,3,14,15,1,13,28,17,1,2,13,West,56.09756098
Alondes Williams,1631214,Miami Heat,AWAY,3.49,0,1.33,0,0,1,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0.33,0.33,0,0,-3.33,-1.33,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png,Alondes Williams,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1631214.png,Alondes Williams,Guard,Miami Heat,82,46,36,0.561,3951,111.5,2702,0.734,617,280,1298,1084,1066,3802,1,16,16,16,21,5,16,3,15,30,13,7,5,3,East,56.09756098
Alperen Sengun,1630578,Houston Rockets,AWAY,32.35,7.93,15,0.54,0.25,1.43,0.18,4.64,6.43,0.74,2.57,6,8.57,5.04,2.75,1,0.86,1.11,3.11,5.61,20.75,0.18,24.61,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Alperen Sengun,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png,Alperen Sengun,Center,Houston Rockets,82,41,41,0.5,3971,112.8,2787,0.722,639,375,1221,1130,958,3992,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West,50
Amari Bailey,1641735,Charlotte Hornets,AWAY,5.41,0.25,1,0.12,0,0.5,0,0.75,0.75,0.25,0,0.5,0.5,0.25,0.5,0,0,0,0.25,0.5,1.25,-5,0.75,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png,Amari Bailey,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1641735.png,Amari Bailey,Guard,Charlotte Hornets,82,21,61,0.256,3946,119.2,2538,0.709,562,371,1401,1160,1128,4308,1,27,27,27,23,29,29,22,25,25,20,21,12,23,East,25.6097561
Amen Thompson,1641708,Houston Rockets,AWAY,23.55,4.29,7.86,0.52,0.21,1.18,0.12,1.79,2.64,0.5,2.79,4.68,7.46,3.04,1.46,1.54,0.64,0.54,2.21,2.43,10.57,-0.82,17.36,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Amen Thompson,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png,Amen Thompson,Guard-Forward,Houston Rockets,82,41,41,0.5,3971,112.8,2787,0.722,639,375,1221,1130,958,3992,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West,50
Amir Coffey,1629599,LA Clippers,AWAY,21,2.37,5.07,0.41,1.05,2.63,0.34,1,1.1,0.4,0.44,1.93,2.37,0.85,0.54,0.66,0.15,0.27,1.39,0.88,6.78,-1.78,7.46,Regular Season,82,51,31,https://loodibee.com/wp-content/uploads/nba-la-clippers-logo.png,Amir Coffey,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1629599.png,Amir Coffey,Guard-Forward,LA Clippers,82,51,31,0.622,3941,114.6,2701,0.705,640,413,1284,1152,1221,4074,1,5,5,5,26,16,17,24,7,15,11,20,21,14,West,62.19512195
Andre Drummond,203083,Chicago Bulls,AWAY,16.93,3.3,5.88,0.56,0,0.05,0,1.47,2.6,0.5,2.81,5.51,8.33,0.42,0.88,0.88,0.7,0.63,1.6,2.3,8.07,0.47,13.79,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Andre Drummond,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png,Andre Drummond,Center,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Andre Jackson Jr.,1641748,Milwaukee Bucks,AWAY,8.74,0.96,1.84,0.34,0.44,0.96,0.22,0.12,0.24,0.06,0.84,1.08,1.92,0.92,0.4,0.24,0.16,0.04,1.28,0.28,2.48,-0.08,4.32,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png,Andre Jackson Jr.,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641748.png,Andre Jackson Jr.,Guard,Milwaukee Bucks,82,49,33,0.598,3961,115,2850,0.731,558,413,1227,1121,1118,4182,1,8,8,8,10,19,3,4,26,15,6,12,10,19,East,59.75609756
Andrew Funk,1641847,Chicago Bulls,AWAY,1.87,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Andrew Funk,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1641847.png,Andrew Funk,Guard,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Andrew Nembhard,1629614,Indiana Pacers,AWAY,24.24,3.45,7.28,0.44,0.95,2.6,0.35,0.57,0.65,0.25,0.5,1.52,2.02,3.92,1.52,0.95,0.12,0.4,2.17,1.2,8.43,1.5,10.02,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Andrew Nembhard,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png,Andrew Nembhard,Guard-Forward,Indiana Pacers,82,47,35,0.573,3941,117.6,2578,0.7,631,481,1297,1212,1122,4792,1,12,12,12,26,24,28,26,11,8,12,26,11,30,East,57.31707317
Andrew Wiggins,203952,Golden State Warriors,AWAY,26.77,4.71,10.64,0.43,1.33,3.67,0.34,2,2.62,0.53,1.57,3,4.57,1.5,1.45,0.38,0.57,0.48,2.02,2.19,12.76,-1.12,11.79,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo.png,Andrew Wiggins,1610612744,GSW,https://cdn.nba.com/headshots/nba/latest/1040x760/203952.png,Andrew Wiggins,Forward,Golden State Warriors,82,46,36,0.561,3966,114.5,2834,0.725,572,377,1411,1100,1220,4074,1,16,16,16,7,15,4,10,23,23,22,9,20,14,West,56.09756098
Anfernee Simons,1629014,Portland Trail Blazers,AWAY,37.43,8.69,19.06,0.44,3.56,8.88,0.38,4.5,4.94,0.86,0.62,3.5,4.12,6.12,2.69,0.62,0.12,0.94,1.81,3.44,25.44,-4.56,22.94,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo.png,Anfernee Simons,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1629014.png,Anfernee Simons,Guard,Portland Trail Blazers,82,21,61,0.256,3976,116.6,2469,0.697,627,354,1564,1163,1391,4388,1,27,27,27,2,23,30,28,12,27,28,22,29,24,West,25.6097561
Anthony Black,1641710,Orlando Magic,AWAY,17.23,1.6,3.42,0.36,0.48,1.38,0.18,0.68,1.18,0.25,0.45,1.42,1.88,1.32,0.92,0.55,0.25,0.22,1.62,1.23,4.35,-0.55,5.1,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png,Anthony Black,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641710.png,Anthony Black,Guard,Orlando Magic,82,47,35,0.573,3956,110.8,2608,0.737,669,423,1348,994,1189,3892,1,12,12,12,17,3,25,2,5,13,16,2,19,8,East,57.31707317
Anthony Davis,203076,Los Angeles Lakers,AWAY,35.35,9.16,16.44,0.56,0.37,1.3,0.18,5.58,6.81,0.79,3.07,9.49,12.56,3.77,2.19,0.95,2.33,0.98,2.49,5.33,24.28,1.37,33.19,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png,Anthony Davis,1610612747,LAL,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,Anthony Davis,Forward-Center,Los Angeles Lakers,82,47,35,0.573,3971,114.8,2859,0.725,605,453,1395,1225,1331,4206,1,12,12,12,3,17,2,11,19,11,19,27,27,21,West,57.31707317
Anthony Edwards,1630162,Minnesota Timberwolves,AWAY,35.51,9.17,20.08,0.45,2.44,6.78,0.37,5.39,6.44,0.79,0.69,4.78,5.47,5.33,3.22,1.22,0.56,0.83,1.61,4.17,26.17,5.78,23.56,Regular Season,82,56,26,https://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo.png,Anthony Edwards,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,Anthony Edwards,Guard,Minnesota Timberwolves,82,56,26,0.683,3961,108.4,2807,0.725,647,497,1337,1042,1086,3782,1,4,4,4,10,1,5,9,6,5,15,4,6,2,West,68.29268293
Anthony Gill,1630264,Washington Wizards,AWAY,13.49,2.29,5.1,0.32,0.24,1.19,0.08,0.71,0.95,0.3,1.19,1.81,3,1,0.33,0.19,0.29,0.57,1.52,0.95,5.52,-2.29,6.62,Regular Season,82,15,67,https://loodibee.com/wp-content/uploads/nba-washington-wizards-logo.png,Anthony Gill,1610612764,WAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1630264.png,Anthony Gill,Forward,Washington Wizards,82,15,67,0.183,3946,118.9,2613,0.683,623,415,1401,1345,1239,4788,1,29,29,29,23,28,24,30,14,14,20,30,23,29,East,18.29268293
Ashton Hagans,1630204,Portland Trail Blazers,AWAY,18.24,1.83,4.5,0.37,0.67,2,0.28,0.67,0.67,0.33,1.17,1.83,3,3.33,2.17,0.33,0.33,0.17,2,1.17,5,-1.17,7.17,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo.png,Ashton Hagans,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1630204.png,Ashton Hagans,Guard-Forward,Portland Trail Blazers,82,21,61,0.256,3976,116.6,2469,0.697,627,354,1564,1163,1391,4388,1,27,27,27,2,23,30,28,12,27,28,22,29,24,West,25.6097561
Ausar Thompson,1641709,Detroit Pistons,AWAY,27.16,4.24,8.56,0.48,0.41,1.85,0.14,1.21,1.97,0.33,2.12,4.24,6.35,2.09,1.26,1.15,1,0.74,3.12,1.88,10.09,-2.35,14.32,Regular Season,82,14,68,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png,Ausar Thompson,1610612765,DET,https://cdn.nba.com/headshots/nba/latest/1040x760/1641709.png,Ausar Thompson,Guard-Forward,Detroit Pistons,82,14,68,0.171,3951,118,2692,0.73,531,384,1611,1138,1165,4468,1,30,30,30,21,25,18,5,30,20,30,16,14,27,East,17.07317073
Austin Reaves,1630559,Los Angeles Lakers,AWAY,31.87,5.44,11.18,0.49,1.96,5.16,0.38,2.58,3.07,0.71,0.78,3.82,4.6,5.49,2.07,0.73,0.31,0.67,1.78,2.67,15.42,-0.2,18.27,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png,Austin Reaves,1610612747,LAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png,Austin Reaves,Guard,Los Angeles Lakers,82,47,35,0.573,3971,114.8,2859,0.725,605,453,1395,1225,1331,4206,1,12,12,12,3,17,2,11,19,11,19,27,27,21,West,57.31707317
Ayo Dosunmu,1630245,Chicago Bulls,AWAY,30.03,5.24,9.93,0.51,1.78,4.17,0.39,1.05,1.29,0.39,0.66,2.22,2.88,3.27,1.44,0.93,0.54,0.66,2.22,1.1,13.32,-2.78,14.56,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Ayo Dosunmu,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1630245.png,Ayo Dosunmu,Guard,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Bam Adebayo,1628389,Miami Heat,AWAY,34.68,7.31,13.77,0.54,0.2,0.54,0.12,3.74,5.26,0.6,2.06,8.54,10.6,4.06,2.6,1.17,0.71,0.66,2.6,4.66,18.57,2.57,24.54,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png,Bam Adebayo,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png,Bam Adebayo,Center-Forward,Miami Heat,82,46,36,0.561,3951,111.5,2702,0.734,617,280,1298,1084,1066,3802,1,16,16,16,21,5,16,3,15,30,13,7,5,3,East,56.09756098
Ben Sheppard,1641767,Indiana Pacers,AWAY,14.16,1.36,3.93,0.26,0.68,2.75,0.17,0.36,0.43,0.2,0.18,1.14,1.32,0.61,0.18,0.5,0.07,0.25,1.64,0.43,3.75,-0.04,3.43,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Ben Sheppard,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1641767.png,Ben Sheppard,Guard,Indiana Pacers,82,47,35,0.573,3941,117.6,2578,0.7,631,481,1297,1212,1122,4792,1,12,12,12,26,24,28,26,11,8,12,26,11,30,East,57.31707317
Ben Simmons,1627732,Brooklyn Nets,AWAY,26.99,3,5.38,0.53,0,0,0,0.25,0.88,0.12,1.88,7,8.88,5.5,2.12,1,1,0.25,2,1.75,6.25,-4.88,17.5,Regular Season,82,32,50,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png,Ben Simmons,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png,Ben Simmons,Guard-Forward,Brooklyn Nets,82,32,50,0.39,3961,115.4,2675,0.715,556,424,1263,1146,1281,3962,1,22,22,22,10,20,20,19,28,12,9,17,25,11,East,39.02439024
Bennedict Mathurin,1631097,Indiana Pacers,AWAY,24.74,4.47,10.59,0.41,1.09,3.19,0.29,2.62,3.31,0.64,1.06,2.81,3.88,1.59,1.94,0.38,0.22,1.16,1.66,2.44,12.66,-2.25,9.97,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Bennedict Mathurin,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png,Bennedict Mathurin,Guard-Forward,Indiana Pacers,82,47,35,0.573,3941,117.6,2578,0.7,631,481,1297,1212,1122,4792,1,12,12,12,26,24,28,26,11,8,12,26,11,30,East,57.31707317
Bilal Coulibaly,1641731,Washington Wizards,AWAY,26.6,2.78,6.48,0.44,0.91,2.78,0.27,1.43,2.17,0.39,0.87,3.17,4.04,1.61,1.43,0.61,0.91,0.7,2.17,1.57,7.91,-9.52,9.22,Regular Season,82,15,67,https://loodibee.com/wp-content/uploads/nba-washington-wizards-logo.png,Bilal Coulibaly,1610612764,WAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png,Bilal Coulibaly,Guard,Washington Wizards,82,15,67,0.183,3946,118.9,2613,0.683,623,415,1401,1345,1239,4788,1,29,29,29,23,28,24,30,14,14,20,30,23,29,East,18.29268293
Bismack Biyombo,202687,Memphis Grizzlies,AWAY,25.51,2.73,4.4,0.61,0,0,0,0.53,1.2,0.13,1.73,5,6.73,1.53,1.33,0.2,0.73,0.4,3.07,1.27,6,-3.93,11.53,Regular Season,82,27,55,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png,Bismack Biyombo,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/202687.png,Bismack Biyombo,Center,Oklahoma City Thunder,82,57,25,0.695,3961,111,2725,0.698,694,538,1211,1258,1025,3852,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West,32.92682927
